2025-03-18 10:27:56.853 [info] Added views:workbench.panel.chat.view.copilot in workbench.panel.chat
2025-03-18 10:27:56.853 [info] Added views:workbench.panel.chat.view.edits in workbench.panel.chatEditing
2025-03-18 10:27:56.853 [info] Added views:outline in workbench.view.explorer
2025-03-18 10:27:56.853 [info] Added views:workbench.view.search in workbench.view.search
2025-03-18 10:27:56.853 [info] Added views:workbench.scm in workbench.view.scm
2025-03-18 10:27:56.853 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2025-03-18 10:27:56.853 [info] Added views:workbench.panel.output in workbench.panel.output
2025-03-18 10:27:56.853 [info] Added views:terminal in terminal
2025-03-18 10:27:56.853 [info] Added views:timeline in workbench.view.explorer
2025-03-18 10:27:56.853 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2025-03-18 10:27:57.018 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-03-18 10:27:57.493 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-03-18 10:27:57.730 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-03-18 10:27:57.764 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2025-03-18 10:27:57.974 [info] Added views:workbench.scm.history in workbench.view.scm
2025-03-18 10:28:23.317 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-03-18 10:28:23.320 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2025-03-18 10:28:32.003 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-03-18 10:28:32.008 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-03-18 10:28:51.011 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-03-18 10:28:51.020 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2025-03-18 10:28:52.638 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-03-18 10:28:52.647 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-03-18 10:31:02.790 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-03-18 10:31:02.799 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2025-03-18 10:31:04.966 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-03-18 10:31:04.974 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-03-18 10:31:32.416 [info] Removed views:workbench.scm.history from workbench.view.scm
2025-03-18 10:31:32.418 [info] Removed views:workbench.view.testing from workbench.view.extension.test
2025-03-18 10:31:32.672 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2025-03-18 10:31:32.887 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-03-18 10:31:33.140 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-03-18 10:31:33.259 [info] Added views:workbench.scm.history in workbench.view.scm
2025-03-18 10:31:39.061 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-03-18 10:31:39.076 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2025-03-18 10:31:40.728 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-03-18 10:31:40.735 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-03-18 10:33:40.608 [info] Removed views:workbench.scm.history from workbench.view.scm
2025-03-18 10:33:40.609 [info] Removed views:workbench.view.testing from workbench.view.extension.test
