
2025/03/25 (08:21:30) | ===> btop++ v.1.4.0
2025/03/25 (08:21:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (21:31:58) | ===> btop++ v.1.4.0
2025/03/25 (21:31:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (21:32:10) | ===> btop++ v.1.4.0
2025/03/25 (21:32:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (00:10:24) | ===> btop++ v.1.4.0
2025/03/29 (00:10:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (08:54:00) | ===> btop++ v.1.4.0
2025/03/29 (08:54:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (09:38:27) | ===> btop++ v.1.4.0
2025/03/30 (09:38:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (11:42:34) | ===> btop++ v.1.4.0
2025/03/30 (11:42:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (15:46:40) | ===> btop++ v.1.4.0
2025/03/31 (15:46:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (21:46:20) | ===> btop++ v.1.4.0
2025/03/31 (21:46:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (15:53:02) | ===> btop++ v.1.4.0
2025/04/02 (15:53:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (16:35:44) | ===> btop++ v.1.4.0
2025/04/02 (16:35:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (16:34:00) | ===> btop++ v.1.4.0
2025/04/07 (16:34:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (10:11:52) | ===> btop++ v.1.4.0
2025/04/08 (10:11:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (15:18:17) | ===> btop++ v.1.4.0
2025/04/08 (15:18:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (22:14:51) | ===> btop++ v.1.4.0
2025/04/09 (22:14:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (17:01:20) | ===> btop++ v.1.4.0
2025/04/14 (17:01:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (09:22:55) | ===> btop++ v.1.4.0
2025/04/15 (09:22:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (09:23:26) | ===> btop++ v.1.4.0
2025/04/15 (09:23:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (15:38:30) | ===> btop++ v.1.4.0
2025/04/21 (15:38:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (15:49:30) | ===> btop++ v.1.4.0
2025/04/21 (15:49:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (07:58:05) | ===> btop++ v.1.4.0
2025/04/22 (07:58:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (20:39:59) | ===> btop++ v.1.4.0
2025/04/22 (20:39:59) | WARNING: Intel GPU: Failed to initialize PMU
